state,x,y
Andhra Pradesh,-102,-119
Arunachal Pradesh,321,147
Assam,282,96
Bihar,77,79
Chhattisgarh,-23,-10
Goa,-248,-121
Gujarat,-317,33
Haryana,-169,143
Himachal Pradesh,-144,196
Jharkhand,69,36
Karnataka,-198,-141
Kerala,-181,-221
Madhya Pradesh,-114,31
Maharashtra,-211,-45
Manipur,309,70
Meghalaya,241,81
Mizoram,286,39
Nagaland,328,101
Odisha,43,-20
Punjab,-199,184
Rajasthan,-247,101
Sikkim,155,120
Tamil Nadu,-128,-210
Telangana,-113,-65
Tripura,256,44
Uttarakhand,-101,167
Uttar Pradesh,-65,104
West Bengal,140,29
